block_id,session_id,block_order,block_type,source_block_name,volume_m,prescription_text,zones,styles,materials,skills,parse_origin,machine_status,source_sheet,source_row
RKF-10-12-01-B01,RKF-10-12-01,1,Aquecimento,Aquecimento,600,600: 200 livre + 4x50 estilos + 4x50 educativo,,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,2
RKF-10-12-01-B02,RKF-10-12-01,2,Desenvolvimento,Bloco 2,1200,1200: 4x300 A1/A2 = 100 livre + 50 costas + 100 livre + 50 escolha,A2|A1,Livre/Crawl|Costas,,,structured_from_source,READY,Treinos_10_12,2
RKF-10-12-01-B03,RKF-10-12-01,3,Desenvolvimento,Bloco 3,800,800: 8x100 progressivos 1–4 (2x): A1 → A1/A2 → A2 → A2 forte técnico,A2|A1,,,,structured_from_source,READY,Treinos_10_12,2
RKF-10-12-01-B04,RKF-10-12-01,4,Desenvolvimento,Bloco 4,400,400: 4x100 = 50 perna + 50 nado progressivo,,,,Perna,structured_from_source,READY,Treinos_10_12,2
RKF-10-12-01-B05,RKF-10-12-01,5,Desenvolvimento,Bloco 5,200,200: 4x50 medley técnico,,Medley,,,structured_from_source,READY,Treinos_10_12,2
RKF-10-12-01-B06,RKF-10-12-01,6,Regenerativo,Regenerativo,400,400 regenerativo A1,A1,,,,structured_from_source,READY,Treinos_10_12,2
RKF-10-12-02-B01,RKF-10-12-02,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,3
RKF-10-12-02-B02,RKF-10-12-02,2,Desenvolvimento,Bloco 2,400,400: 8x50 educativos dos quatro estilos,,,,,structured_from_source,READY,Treinos_10_12,3
RKF-10-12-02-B03,RKF-10-12-02,3,Desenvolvimento,Bloco 3,1500,"1500: 3x[4x100 perna + 100 nado A2 progressivo]; bloco 1 livre, bloco 2 costas, bloco 3 escolha",A2,Livre/Crawl|Costas,,Perna,structured_from_source,READY,Treinos_10_12,3
RKF-10-12-02-B04,RKF-10-12-02,4,Desenvolvimento,Bloco 4,600,600: 8x75 = 25 estilo + 25 livre + 25 estilo,,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,3
RKF-10-12-02-B05,RKF-10-12-02,5,Regenerativo,Regenerativo,300,300 regenerativo A1,A1,,,,structured_from_source,READY,Treinos_10_12,3
RKF-10-12-03-B01,RKF-10-12-03,1,Aquecimento,Aquecimento,600,600 variado + técnica,,,,,structured_from_source,READY,Treinos_10_12,4
RKF-10-12-03-B02,RKF-10-12-03,2,Desenvolvimento,Bloco 2,2400,2400: 2x[400 A1 + 300 A2 + 200 A2 forte + 3x100 progressivos 1–3],A2|A1,,,,structured_from_source,READY,Treinos_10_12,4
RKF-10-12-03-B03,RKF-10-12-03,3,Desenvolvimento,Bloco 3,400,400: 8x50 alternando 25 rápido/25 fácil,,,,,structured_from_source,READY,Treinos_10_12,4
RKF-10-12-03-B04,RKF-10-12-03,4,Desenvolvimento,Bloco 4,200,200: 2x100 medley técnico,,Medley,,,structured_from_source,READY,Treinos_10_12,4
RKF-10-12-03-B05,RKF-10-12-03,5,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,4
RKF-10-12-04-B01,RKF-10-12-04,1,Aquecimento,Aquecimento,700,700 incluindo educativos e progressivos,,,,,structured_from_source,READY,Treinos_10_12,5
RKF-10-12-04-B02,RKF-10-12-04,2,Desenvolvimento,Bloco 2,400,"400: 2x(8x25); ímpares 15 m alático + fácil, pares técnico",,,,,structured_from_source,READY,Treinos_10_12,5
RKF-10-12-04-B03,RKF-10-12-04,3,Desenvolvimento,Bloco 3,800,800: 8x100 = 25 forte + 75 A1 perfeito,A1,,,,structured_from_source,READY,Treinos_10_12,5
RKF-10-12-04-B04,RKF-10-12-04,4,Desenvolvimento,Bloco 4,400,"400: 8x50 saídas, breakout, viradas e chegada",,,,Breakout,structured_from_source,READY,Treinos_10_12,5
RKF-10-12-04-B05,RKF-10-12-04,5,Desenvolvimento,Bloco 5,600,600: 4x150 A1/A2 alternando livre/costas,A2|A1,Livre/Crawl|Costas,,,structured_from_source,READY,Treinos_10_12,5
RKF-10-12-04-B06,RKF-10-12-04,6,Regenerativo,Regenerativo,300,300 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,5
RKF-10-12-05-B01,RKF-10-12-05,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,6
RKF-10-12-05-B02,RKF-10-12-05,2,Desenvolvimento,Bloco 2,1800,1800: 3x[4x100 pull palmar P + 200 nado progressivo A1→A2],A2|A1,,Palmar,,structured_from_source,READY,Treinos_10_12,6
RKF-10-12-05-B03,RKF-10-12-05,3,Desenvolvimento,Bloco 3,600,600: 8x75 = 25 braço unilateral + 50 nado,,,,,structured_from_source,READY,Treinos_10_12,6
RKF-10-12-05-B04,RKF-10-12-05,4,Desenvolvimento,Bloco 4,400,400: 4x100 estilos,,,,,structured_from_source,READY,Treinos_10_12,6
RKF-10-12-05-B05,RKF-10-12-05,5,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,6
RKF-10-12-06-B01,RKF-10-12-06,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,7
RKF-10-12-06-B02,RKF-10-12-06,2,Desenvolvimento,Bloco 2,1600,"1600: 2x800 A1/A2; cada 800 = 300 livre + 200 costas + 300 livre, segundo 300 mais rápido",A2|A1,Livre/Crawl|Costas,,,structured_from_source,READY,Treinos_10_12,7
RKF-10-12-06-B03,RKF-10-12-06,3,Desenvolvimento,Bloco 3,800,"800: 8x100 progressivos 1–4, repetir 2x",,,,,structured_from_source,READY,Treinos_10_12,7
RKF-10-12-06-B04,RKF-10-12-06,4,Desenvolvimento,Bloco 4,600,600: 4x150 = 50 perna + 100 nado,,,,Perna,structured_from_source,READY,Treinos_10_12,7
RKF-10-12-06-B05,RKF-10-12-06,5,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,7
RKF-10-12-07-B01,RKF-10-12-07,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,8
RKF-10-12-07-B02,RKF-10-12-07,2,Desenvolvimento,Bloco 2,800,800: 4x200 IM técnico,,Medley,,,structured_from_source,READY,Treinos_10_12,8
RKF-10-12-07-B03,RKF-10-12-07,3,Desenvolvimento,Bloco 3,800,800: 8x100 = 50 estilo + 50 livre A2,A2,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,8
RKF-10-12-07-B04,RKF-10-12-07,4,Desenvolvimento,Bloco 4,1000,1000: 4x250 = 100 livre + 50 costas + 50 peito + 50 livre progressivo,,Livre/Crawl|Costas|Peito,,,structured_from_source,READY,Treinos_10_12,8
RKF-10-12-07-B05,RKF-10-12-07,5,Regenerativo,Regenerativo,300,300 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,8
RKF-10-12-08-B01,RKF-10-12-08,1,Aquecimento,Aquecimento,700,700 variado,,,,,structured_from_source,READY,Treinos_10_12,9
RKF-10-12-08-B02,RKF-10-12-08,2,Desenvolvimento,Bloco 2,1200,1200: 2x[4x50 = 25 paraquedas P + 25 livre transferência + 4x100 livre A2],A2,Livre/Crawl,Paraquedas,,structured_from_source,READY,Treinos_10_12,9
RKF-10-12-08-B03,RKF-10-12-08,3,Desenvolvimento,Bloco 3,800,800: 8x100 = 50 pull palmar P + 50 nado,,,Palmar,,structured_from_source,READY,Treinos_10_12,9
RKF-10-12-08-B04,RKF-10-12-08,4,Desenvolvimento,Bloco 4,400,400: 4x100 progressivos 1–4,,,,,structured_from_source,READY,Treinos_10_12,9
RKF-10-12-08-B05,RKF-10-12-08,5,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,9
RKF-10-12-09-B01,RKF-10-12-09,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,10
