session_id,title,volume_proposed_m,volume_audited_m,difference_m,audit_status,source_sheet,source_row,age_band,periodization_compatibility,profile,session_type,objective,zone_intention_raw,zones,styles,materials,skills,load_pse,block_count,machine_status,app_selectable,selection_features,adaptation_rules,schema_version
RKF-10-12-01,Aeróbio + progressão,3600,3600,0,OK — EXATO,Treinos_10_12,2,10–12,Linear / desenvolvimento técnico,Geral,Técnica/Fundamentos,Aeróbio + progressão,A1/A2; progressão técnica,A2|A1,Livre/Crawl|Costas|Medley,,Perna,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Técnica/Fundamentos;zones=A2|A1;styles=Livre/Crawl|Costas|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-02,Perna + estilos,3400,3400,0,OK — EXATO,Treinos_10_12,3,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Perna + estilos,A1/A2; multilateral,A2|A1,Livre/Crawl|Costas,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-03,Distâncias variadas,3800,3800,0,OK — EXATO,Treinos_10_12,4,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Distâncias variadas,A1→A2; A2 forte controlado,A2|A1,Medley,,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-04,Velocidade curta + técnica,3200,3200,0,OK — EXATO,Treinos_10_12,5,10–12,Linear / desenvolvimento técnico,Geral,Técnica/Fundamentos,Velocidade curta + técnica,Alático curto + A1/A2,A2|A1,Livre/Crawl|Costas,,Breakout,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Técnica/Fundamentos;zones=A2|A1;styles=Livre/Crawl|Costas;skills=Breakout,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-05,Braço → nado,3600,3600,0,OK — EXATO,Treinos_10_12,6,10–12,Linear / desenvolvimento técnico,Geral,Técnica/Fundamentos,Braço → nado,A1/A2; força propulsiva técnica,A2|A1,,Palmar,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Técnica/Fundamentos;zones=A2|A1;styles=NA;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-06,Aeróbio longo,4000,4000,0,OK — EXATO,Treinos_10_12,7,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Aeróbio longo,A1/A2; negative split leve,A2|A1,Livre/Crawl|Costas,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-07,Medley + livre,3500,3500,0,OK — EXATO,Treinos_10_12,8,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Medley + livre,A1/A2; estilos,A2|A1,Livre/Crawl|Costas|Peito|Medley,,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas|Peito|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-08,Força especial leve,3300,3300,0,OK — EXATO,Treinos_10_12,9,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Força especial leve,Força especial leve + A2,A2,Livre/Crawl,Palmar|Paraquedas,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2;styles=Livre/Crawl;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-09,Escada aeróbia,3600,3600,0,OK — EXATO,Treinos_10_12,10,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Escada aeróbia,A1→A2→A1,A2|A1,,,,,3,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=NA;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-10,Perna forte + transferência,3500,3500,0,OK — EXATO,Treinos_10_12,11,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Perna forte + transferência,Perna + A2; progressão,A2,Livre/Crawl|Costas,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2;styles=Livre/Crawl|Costas;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
